"outcome","tau","n_e","n_o","n_eo","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0.2,1000,1000,100,"05km",0.0235954730900764,0.932,0.0375842735595967,0.00088745936110348,0.0376114247726917,0.0359799221956372,500,0,"RSV"
"Ybin",0.2,1000,1000,100,"10km",0.026121463588294,0.936,0.0369853891732193,0.000966749634620422,0.0370097805336474,0.0358481200119945,500,0,"RSV"
"Ybin",0,1000,1000,250,"02km",0.0205584107091209,0.93,0.0315625119491371,0.0006493874419927,0.0315874340278937,0.0314219595026162,500,0,"RSV"
"Ybin",0,1000,1000,250,"05km",0.0113732204869228,0.936,0.0317234327750224,0.000361135532733023,0.0317531461865411,0.0315265460069237,500,0,"RSV"
"Ybin",0,1000,1000,250,"10km",0.0152990225837733,0.934,0.0317294947228258,0.000485859445192356,0.0317575480741936,0.0314384645039945,500,0,"RSV"
"Ybin",0.05,1000,1000,250,"02km",0.0113706434597902,0.952,0.0341116394672297,0.000388234597074646,0.0341435907692958,0.0326675746609336,500,0,"RSV"
"Ybin",0.05,1000,1000,250,"05km",0.0209229725890932,0.942,0.034339282806106,0.000719041746423488,0.0343661371901961,0.0328471479839061,500,0,"RSV"
"Ybin",0.05,1000,1000,250,"10km",0.00966346725321667,0.952,0.0340115425801368,0.000328983200133715,0.0340440125177851,0.0326719155810679,500,0,"RSV"
"Ybin",0.1,1000,1000,250,"02km",0.0572505678254248,0.942,0.0347679652738952,0.00198921542150937,0.0347457762790253,0.0335399599345085,500,0,"RSV"
"Ybin",0.1,1000,1000,250,"05km",0.0592056173101453,0.948,0.0349138545145866,0.00206554225815354,0.0348876061427298,0.0336542645255283,500,0,"RSV"
"Ybin",0.1,1000,1000,250,"10km",0.0568317105490588,0.95,0.0348805850923095,0.00198110546540885,0.0348591560287228,0.0335413198691784,500,0,"RSV"
"Ybin",0.15,1000,1000,250,"02km",-0.0244847329167328,0.94,0.0352121561923109,-0.000862764601453373,0.0352368393965107,0.0343558512874947,500,0,"RSV"
