"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04312-569215",19.605,78.835,1,0,1,"Holdout",NA,-39.320020029136,-0.806369839627978
"11-28-532-04312-569216",19.605,78.815,1,0,1,"Holdout",NA,-40.7500955504639,-0.835697641799356
"11-28-532-04312-569217",19.585,78.805,1,0,1,"Holdout",NA,-37.6696340326671,-0.772523938982181
"11-28-532-04312-569218",19.575,78.845,1,0,0,"Holdout",NA,3.02212552611165,0.0619773559123447
"11-28-532-04312-569219",19.585,78.855,0,0,0,"Holdout",NA,-28.8053041130705,-0.59073541775615
"11-28-532-04312-569220",19.585,78.875,1,0,0,"Holdout",NA,-53.478294710723,-1.09672588919103
"11-28-532-04312-569221",19.585,78.885,1,0,1,"Holdout",NA,-15.3093932912171,-0.313963039792267
"11-28-532-04312-569222",19.605,78.895,1,1,1,"Holdout",NA,-43.3515030285127,-0.889046966884308
"11-28-532-04312-569223",19.595,78.905,1,1,1,"Holdout",NA,-49.1605426750202,-1.00817799389487
"11-28-532-04312-569224",19.605,78.915,1,0,0,"Holdout",NA,-39.6362079629409,-0.812854180512993
"11-28-532-04312-569225",19.605,78.945,1,1,1,"Holdout",NA,-7.14213716392074,-0.146470016932958
"11-28-532-04312-569226",19.585,78.955,1,0,0,"Holdout",NA,-11.5120379314755,-0.236087371616709
