shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-543-04838-583186,0,0,0,Holdout,NA,59.93682412577038,1.228035561547315
11-28-543-04838-583187,0,0,1,Holdout,NA,55.29945146971702,1.1330212090712704
11-28-543-04838-583188,1,0,0,Holdout,NA,59.98929945397712,1.2291107197673523
11-28-543-04838-583189,1,0,0,Holdout,NA,55.64635095540601,1.1401287745941722
11-28-543-04838-583190,1,0,1,Holdout,NA,53.12747259144107,1.088519897225725
11-28-543-04838-583191,0,0,1,Holdout,NA,66.78983274558978,1.3684457085892916
11-28-543-04838-583192,1,1,1,Holdout,NA,48.09870956723143,0.9854864129796279
11-28-543-04838-583193,0,0,0,Holdout,NA,45.78281234654212,0.9380363822951984
11-28-543-04838-583194,0,0,0,Holdout,NA,31.398697504184653,0.6433226598809232
11-28-543-04838-583195,1,1,1,Holdout,NA,39.215789329383604,0.8034857464181969
11-28-543-04838-583196,1,1,1,Holdout,NA,44.465084361776356,0.9110376740829847
11-28-543-04838-583197,0,0,0,Holdout,NA,21.903303163445692,0.44877311389773933
11-28-543-04838-583198,1,0,0,Holdout,NA,37.43690282029417,0.7670384383570525
11-28-543-04838-583199,1,0,0,Holdout,NA,44.04256216502414,0.902380687485463
11-28-543-04838-583200,1,0,1,Holdout,NA,44.80074865757271,0.9179150436799239
11-28-543-04838-583201,0,0,0,Holdout,NA,3.2129078080161064,0.06582873053029162
11-28-543-04839-583202,0,0,0,Control,0,59.453317801235826,1.21812908135885
11-28-543-04839-583203,0,0,0,Control,0,2.669334973822829,0.05469155767509195
11-28-543-04839-583204,0,0,0,Control,0,38.39060122724946,0.7865786054549045
11-28-543-04839-583205,0,0,0,Control,0,56.15061385759849,1.15046053282951
11-28-543-04839-583206,1,0,1,Control,0,32.78647858178064,0.6717566741916275
11-28-543-04839-583207,0,0,1,Control,0,72.44978182263415,1.48441145826886
11-28-543-04839-583208,0,0,0,Control,0,44.124010471428925,0.9040494682083621
11-28-543-04839-583209,0,0,0,Control,0,49.99926770231798,1.0244266306290783
11-28-543-04839-583210,0,0,0,Control,0,41.65169839020222,0.8533946796159839
11-28-543-04839-583211,0,0,0,Control,0,54.24936644118512,1.1115061926102772
11-28-543-04839-583212,0,0,0,Control,0,28.693484063462556,0.58789599430032
11-28-543-04839-583213,1,0,0,Control,0,57.83166740446023,1.184903357695899
11-28-543-04839-583214,1,0,0,Control,0,49.33410193168358,1.0107981604427199
11-28-543-04839-583215,1,0,0,Control,0,31.129606229234284,0.637809293769837
