shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-551-05227-593352,14.608451081085516,79.04892306596051,0.5711203340875868,14.605,79.045
11-28-551-05227-593354,14.596368239189887,79.06022968304873,0.535988617,14.595,79.065
11-28-551-05227-593355,14.592530023507463,79.08899215,0.5104486557547848,14.595,79.085
11-28-551-05227-593356,14.581691841188306,79.08059534996151,0.6006601125693557,14.585,79.085
11-28-551-05227-593357,14.585898246909876,79.03998361,0.5461266769849513,14.585,79.035
11-28-551-05227-593358,14.565190264456572,79.04859674950923,0.38809923915731276,14.565,79.045
11-28-551-05227-593359,14.565842117230162,79.08600234632033,0.14300623598068804,14.565,79.085
11-28-551-05227-593362,14.539898549054357,79.05578471631742,0.5518209882832881,14.535,79.055
11-28-551-05227-593365,14.515738235055618,79.09256368461376,0.2751133620893624,14.515,79.095
11-28-551-05228-593370,14.454983612181566,78.98037466668164,0.49859375033466835,14.455,78.985
11-28-551-05228-593371,14.450591549561496,78.99290862419772,0.5400525436894636,14.455,78.995
11-28-551-05228-593372,14.439496710144633,79.03795327349359,0.5932407312568209,14.435,79.035
11-28-551-05228-593373,14.458055784929384,79.08636436284414,0.3706001980680881,14.455,79.085
11-28-551-05228-593381,14.411401103675379,79.06288842094357,0.460795008,14.415,79.065
11-28-551-05228-593382,14.423768228879945,79.03393957017103,0.17852791992366326,14.425,79.035
11-28-551-05228-593383,14.392442161202496,79.02931814029712,0.5457680916234168,14.395,79.025
11-28-551-05228-593384,14.36654740429186,78.98478517253477,0.17380712024179432,14.365,78.985
11-28-551-05228-593385,14.337433831992325,79.05599126836309,0.2912639049473276,14.335,79.055
11-28-551-05228-593386,14.305436786564627,79.0413111,0.4008731583481043,14.305,79.045
11-28-551-05228-593387,14.318751849151258,79.08183005509055,0.5397613169229384,14.315,79.085
11-28-551-05228-593388,14.324995024638959,79.12707879236405,0.22421575979721392,14.325,79.125
11-28-551-05229-593389,14.520735324967925,78.87145536,0.609333654,14.525,78.875
11-28-551-05229-593390,14.507216358461559,78.88968618333458,0.562077767,14.505,78.885
11-28-551-05229-593391,14.50698091331068,78.87144965335494,0.4416190667561022,14.505,78.875
11-28-551-05229-593392,14.488330859566021,78.87716203113662,0.43793282633837166,14.485,78.875
11-28-551-05229-593393,14.483866356209067,78.90318047175892,0.23320622793810156,14.485,78.905
11-28-551-05229-593394,14.492332707517507,78.91613049227578,0.32094804311385655,14.495,78.915
11-28-551-05229-593395,14.474916327867527,78.92954917844399,0.49042563283924495,14.475,78.925
11-28-551-05229-593396,14.47209934621766,78.94649847317866,0.3610417432999708,14.475,78.945
11-28-551-05229-593397,14.460469850530982,78.93640142663969,0.5264334636457269,14.465,78.935
11-28-551-05229-593398,14.460029245902577,78.95100604135035,0.7010931300546848,14.465,78.955
11-28-551-05229-593399,14.470364442882012,78.96582162312494,0.5235720317038126,14.475,78.965
11-28-551-05229-593400,14.466617881182051,78.99169357290015,0.3993221394232382,14.465,78.995
11-28-551-05229-593401,14.456338888018843,79.02937977193486,0.4950859867231757,14.455,79.025
11-28-551-05229-593402,14.423251007235287,79.00584252970145,0.21484331920224853,14.425,79.005
11-28-551-05229-593403,14.44038665754709,78.97379453,0.5297415242701328,14.445,78.975
11-28-551-05229-593404,14.427145005036849,78.92993024849896,0.5826991637205087,14.425,78.925
11-28-551-05229-593405,14.398641019969482,78.94822835528706,0.5342755714062363,14.395,78.945
11-28-551-05229-593406,14.380631736640767,78.98088671790376,0.6581690729847482,14.385,78.985
11-28-551-05231-593407,14.482035005189168,78.73261640795751,0.41826100682602657,14.485,78.735
11-28-551-05231-593408,14.48104186500762,78.76030360106063,0.6710955178667882,14.485,78.765
11-28-551-05231-593409,14.461679653990018,78.77693626597227,0.4244755662961741,14.465,78.775
11-28-551-05231-593410,14.44721997734058,78.78199840490704,0.40714884774613624,14.445,78.785
11-28-551-05231-593412,14.442393086042664,78.75345615616833,0.334536251,14.445,78.755
11-28-551-05231-593414,14.424701909902076,78.72851413459529,0.3803098736323231,14.425,78.725
11-28-551-05231-593416,14.421919020150845,78.75505726555551,0.34302867106585483,14.425,78.755
11-28-551-05231-593418,14.42039416,78.79814467347181,0.6146737700045447,14.425,78.795
11-28-551-05231-593420,14.364783589040178,78.76705904285895,0.22334842248126888,14.365,78.765
11-28-551-05231-593421,14.39877311772042,78.79654732,0.45194354716605456,14.395,78.795
11-28-551-05231-593422,14.33457188971304,78.79845430996897,0.37559557143062794,14.335,78.795
11-28-551-05231-593423,14.37743006925452,78.79960819175218,0.5657787350304582,14.375,78.795
11-28-551-05231-593424,14.351167148106985,78.83684419482843,0.47074858063819097,14.355,78.835
11-28-551-05231-802998,14.400370806079176,78.85146181048222,0.6411625184904047,14.405,78.855
11-28-551-05232-593425,14.441971074177742,78.53639352107659,0.36912914587374823,14.445,78.535
11-28-551-05232-593426,14.390819809253466,78.52329973,0.5001492717184832,14.395,78.525
11-28-551-05232-593428,14.394928180174821,78.56566078834292,0.071696407,14.395,78.565
11-28-551-05232-593429,14.45766336428737,78.57224792,0.4194167471558253,14.455,78.575
11-28-551-05232-593430,14.479690537557671,78.59052238,0.7110277080130484,14.475,78.595
11-28-551-05232-593431,14.48748908730108,78.61495998883169,0.2771174872173008,14.485,78.615
11-28-551-05232-593432,14.506495649422996,78.60744741514209,0.3119134131662076,14.505,78.605
11-28-551-05232-593434,14.477340473003744,78.63584262,0.2759165652394238,14.475,78.635
11-28-551-05232-593435,14.471232260157395,78.65135100297883,0.5749879462575546,14.475,78.655
11-28-551-05232-593436,14.474137161665254,78.67099876160577,0.4418441190474754,14.475,78.675
11-28-551-05232-593437,14.50285799041282,78.67733751026678,0.3468712752518381,14.505,78.675
11-28-551-05232-593438,14.482596785486104,78.69314148454417,0.3342080356472229,14.485,78.695
11-28-551-05232-593439,14.45988300052024,78.69956973605356,0.7335655898918747,14.455,78.695
11-28-551-05232-593440,14.451902547378706,78.68239100046081,0.44495842050839135,14.455,78.685
11-28-551-05232-593441,14.464226823349993,78.67769589982818,0.30307183832760204,14.465,78.675
11-28-551-05232-593442,14.441848927504859,78.65281390455384,0.42258846155333435,14.445,78.655
